"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","1","0","User successfully authorized","0"
"0","","0","Header","1","0","The user was able to log in (the avatar is visible in the top right corner)","0"
"0","","1","Forgot password","0","0","UI notifies forgot password mail - sent (operates once every 10 minutes)","0"
"0","","0","Login","1","0","The 'show password' button displays/hides the password","0"
"0","","0","Login","1","0","When an incorrect password was entered, a notification was displayed","0"
"0","","0","Login","1","0","The login page itself opens","0"
"0","","0","Login","1","0","Password is hidden by default","0"
"0","","0","Login","1","0","From the HOME tab, the 'Login in' button will redirect you to the 'Log in' form","0"
"0","","0","Login","1","0","Entering a non-existent login displays a corresponding prompt","0"
"0","","0","Sign up","1","0","Switching from the 'Log in' tab to 'Sign up'","0"
"0","","0","Forgot password","1","0","Switching from the 'Log in' tab to 'Forgot password'","0"
"0","","0","Forgot password","1","0","Switching back from the 'Forgot password' tab to 'Log in'","0"
"0","","0","Forgot password","1","0","The 'Forget password' form notifies the user that the entered username does not exist.And won't let me send the letter","0"
